Wall time,Step,Value
1746826352.151841,325,-15.088996887207031
1746826354.58703,577,-16.36403465270996
1746834630.019279,601,-219.08493041992188
1746834647.302164,2665,-165.18536376953125
1746834663.4234061,4466,-156.84828186035156
1746834688.534784,7482,-178.11460876464844
1746834691.7334552,7854,-166.88296508789062
1746834704.0495832,9327,-173.396484375
1746834714.960056,10578,-184.05165100097656
1746834726.551254,11868,-200.1580352783203
1746834731.210291,12365,-198.64324951171875
1746834751.195642,14630,-239.03414916992188
1746834756.745118,15312,-235.98468017578125
1746834764.051042,16169,-225.50527954101562
1746834773.031451,17292,-238.19602966308594
1746834779.980216,18132,-239.22085571289062
1746834781.571448,18336,-229.1173553466797
1746834783.98478,18641,-221.89620971679688
1746834785.569104,18842,-214.13351440429688
1746834790.8610299,19480,-204.13717651367188
1746834792.600693,19687,-198.00494384765625
1746834796.599591,20132,-188.82644653320312
1746834805.942194,21239,-202.44064331054688
1746834815.1307719,22397,-214.53961181640625
1746834817.3613398,22681,-213.4720458984375
1746834822.696935,23321,-216.9805145263672
1746834826.6848729,23803,-213.66616821289062
1746834836.745461,25068,-229.265869140625
1746834861.461368,28165,-284.0921325683594
1746834863.282913,28398,-278.9818420410156
1746834872.58034,29552,-289.5533142089844
1746834876.341223,30025,-284.45037841796875
1746834886.073429,31198,-299.4831237792969
1746834888.4246259,31488,-278.7760009765625
1746834903.027084,33259,-297.7995910644531
1746834904.731104,33474,-293.0105895996094
1746834909.0172029,33997,-285.5294189453125
1746834910.803926,34214,-279.30487060546875
1746834920.045851,35365,-299.9159240722656
1746834921.726629,35576,-299.28765869140625
1746834924.047171,35850,-300.6836242675781
1746834934.325686,37123,-320.98626708984375
1746834935.882536,37332,-322.32794189453125
1746834938.184918,37614,-323.6681213378906
1746834942.740662,38166,-329.1114807128906
1746834944.664544,38406,-328.144775390625
1746834945.667945,38528,-309.0188903808594
1746834946.8653948,38657,-290.2047119140625
1746834956.1161191,39813,-311.9258728027344
1746834957.684303,39989,-305.94500732421875
1746834959.315753,40184,-300.9059753417969
1746834968.904673,41297,-304.4482421875
1746834982.184139,42946,-255.13609313964844
1746834993.110305,44308,-276.65789794921875
1746834994.4991412,44479,-257.071533203125
1746835003.5405178,45591,-276.8734130859375
1746835005.079659,45787,-273.7157287597656
1746835019.040309,47498,-280.49627685546875
1746835020.698865,47680,-274.05450439453125
1746835040.5691452,50094,-299.2034606933594
1746835042.2359831,50278,-299.6155090332031
1746835043.389298,50409,-297.5411376953125
1746835044.2943418,50497,-273.3822937011719
1746835054.8919349,51702,-295.5938415527344
1746835072.016268,53832,-339.0509033203125
1746835072.961186,53940,-332.6139831542969
1746835082.210046,55054,-354.0886535644531
1746835090.631944,56123,-376.69683837890625
1746835100.9922009,57425,-380.46343994140625
1746835105.175101,57936,-384.0294189453125
1746835145.0403461,62841,-432.7591552734375
1746835147.356203,63129,-408.9164123535156
1746835158.659216,64469,-435.3230285644531
1746835160.82091,64748,-414.98388671875
1746835169.932862,65854,-437.6387634277344
1746835189.456012,68258,-455.54669189453125
1746835190.610948,68405,-455.5794372558594
1746835192.7209349,68665,-414.4667663574219
1746835195.7650402,69038,-415.1330261230469
1746835198.0995588,69327,-414.70721435546875
1746835201.170475,69679,-420.19036865234375
1746835203.3081338,69958,-399.2742004394531
1746835213.751956,71208,-378.98565673828125
1746835222.8580868,72395,-403.0056457519531
1746835225.541346,72736,-384.9239196777344
1746835238.187108,74347,-366.4871520996094
1746835239.7705112,74545,-367.7502746582031
1746835241.0682812,74694,-365.1271057128906
1746835243.310616,74967,-366.3238830566406
