Wall time,Step,Value
1746805936.388406,640,-57.18289566040039
1746805946.983074,2432,-107.76779174804688
1746805962.424777,5248,-98.5408706665039
1746805966.30791,6144,-112.310546875
1746805967.2500238,6272,-109.48109436035156
1746805975.7467148,8064,-112.46102142333984
1746805976.3490372,8192,-112.46102142333984
1746805978.464399,8704,-119.94573211669922
1746805981.147083,9216,-113.0713882446289
1746805985.406571,9984,-104.32459259033203
1746805988.286577,10624,-103.29683685302734
1746805992.476327,11520,-110.79895782470703
1746805999.6707551,12800,-100.0627212524414
1746806002.297011,13312,-85.62093353271484
1746806005.461937,13824,-76.26853942871094
1746806016.0287008,16128,-76.97718048095703
1746806016.769304,16256,-77.51045989990234
1746806017.8477829,16512,-76.32218933105469
1746806019.489036,16768,-74.33494567871094
1746806027.770035,18560,-86.50674438476562
1746806029.3196402,18944,-86.50674438476562
1746806035.61251,20224,-89.69971466064453
1746806037.539668,20608,-101.42080688476562
1746806038.9888499,20864,-102.16737365722656
1746806040.4191391,21120,-102.02362060546875
1746806046.923889,22144,-102.20173645019531
1746806049.7151659,22784,-113.4876937866211
1746806058.4684422,24576,-73.58170318603516
1746806065.3637319,26112,-63.55591583251953
1746806066.681696,26368,-59.07762145996094
1746806072.00441,27392,-50.10301971435547
1746806081.4951072,29440,-66.00321960449219
1746806089.767704,31360,-79.83464813232422
1746806090.2589319,31488,-93.34947967529297
1746806097.5525298,33152,-64.3941421508789
1746806098.0351,33280,-62.89861297607422
1746806104.964593,34816,-33.971031188964844
1746806107.165677,35200,-36.4465446472168
1746806113.754834,36608,-45.775150299072266
1746806116.680971,37248,-46.98699951171875
1746806119.1967099,37888,-47.19829559326172
1746806126.6521091,39552,-55.40959167480469
1746806130.748468,40576,-34.95616149902344
1746806132.3286662,40960,-34.8818359375
1746806133.99684,41344,-38.10904312133789
1746806147.136579,44288,-48.64760971069336
1746806147.684513,44416,-48.64760971069336
1746806153.818109,45952,-51.02959442138672
1746806157.0231922,46720,-40.80214309692383
1746806157.5445619,46848,-40.426029205322266
1746806158.094375,46976,-40.92137145996094
1746806165.034517,48512,-39.6552619934082
1746806168.711332,49536,-40.621742248535156
1746806170.8657868,50048,-26.20561408996582
1746806171.7708402,50304,-25.79423713684082
1746806177.31884,51584,-26.566192626953125
1746806178.233182,51840,-26.642723083496094
1746806183.785833,53248,-25.452497482299805
1746806187.753788,54144,-25.218549728393555
1746806196.084238,55936,-35.402076721191406
1746806196.6460822,56064,-35.402076721191406
1746806198.015924,56320,-49.53482437133789
1746806201.833447,57216,-44.681121826171875
1746806210.481278,59136,-20.96795654296875
1746806213.899536,59648,-24.146047592163086
1746806218.97716,60800,-23.88405418395996
1746806219.5167592,60928,-23.88405418395996
1746806222.590275,61568,-32.40900802612305
1746806223.0335228,61696,-31.90970802307129
1746806227.25104,62464,-35.239967346191406
1746806238.852675,65408,-16.51424217224121
1746806240.113363,65664,-16.926414489746094
1746806240.511563,65792,-16.802536010742188
1746806241.408917,65920,-16.91810417175293
1746806243.3347719,66304,-23.825340270996094
1746806244.736614,66560,-22.663122177124023
1746806252.729744,68352,-23.921789169311523
1746806253.3870971,68480,-24.035619735717773
1746806254.0702,68736,-20.987977981567383
1746806255.290289,68992,-22.235801696777344
1746806256.228778,69248,-22.170127868652344
1746806258.4163232,69760,-22.170127868652344
1746806259.489428,70016,-22.170127868652344
1746806263.404345,70784,-32.958953857421875
1746806265.2662,71296,-32.28678512573242
1746806269.0672698,72064,-16.097740173339844
1746806270.313611,72320,-16.097740173339844
1746806272.4565141,72832,-16.097740173339844
1746806281.222538,74880,-46.78432083129883
1746806284.540947,75648,-15.073074340820312
1746806286.793099,76160,-15.803163528442383
1746806287.6734378,76416,-15.073409080505371
1746806298.36152,78720,-20.238018035888672
1746806302.142432,79872,-13.12629222869873
1746806304.574848,80512,-12.379850387573242
1746806304.935036,80640,-13.751553535461426
1746806308.91573,81664,-14.194375991821289
1746806311.2618382,82432,-15.161877632141113
1746806311.701479,82560,-14.377509117126465
1746806318.956736,84352,-14.990667343139648
1746806322.860505,85504,-11.978906631469727
1746806326.9242501,86528,-20.748668670654297
1746806327.266958,86656,-20.877004623413086
1746806333.225526,88704,-11.350924491882324
1746806334.0462132,88960,-11.008527755737305
1746806348.249407,92416,-10.238465309143066
1746806352.5325649,93312,-12.461877822875977
1746806354.658172,93696,-14.187700271606445
1746806362.907368,95360,-23.643274307250977
1746806372.054415,97920,-12.067134857177734
1746806377.494385,99328,-11.272716522216797
1746806377.913951,99456,-11.473573684692383
1746806381.3624861,100224,-11.473573684692383
1746806384.637751,100992,-28.21880531311035
1746806391.863144,103040,-15.64794635772705
1746806392.529665,103168,-16.35106658935547
1746806393.797575,103424,-16.463808059692383
1746806399.9125912,104960,-23.064329147338867
1746806406.3997009,106624,-12.60738754272461
1746806411.793246,107648,-17.851272583007812
