Wall time,Step,Value
1746834619.2362611,128,-6.022981643676758
1746872893.298342,171,-23.252695083618164
1746873692.664629,296,-18.571352005004883
1746873696.346157,620,-20.752771377563477
1746873698.34991,782,-17.262042999267578
1746873701.814102,1077,-22.233779907226562
1746873705.356292,1392,-26.447614669799805
1746873718.958517,2565,-45.9657096862793
1746873733.19706,3730,-67.70841979980469
1746873747.547979,4939,-81.47827911376953
1746873750.884747,5236,-77.97047424316406
1746873764.895735,6474,-89.92957305908203
1746873778.714061,7723,-99.20367431640625
1746873783.1006029,8115,-97.5246810913086
1746873795.9027,9250,-101.81271362304688
1746873799.452723,9561,-97.60388946533203
1746873812.667179,10727,-100.21662902832031
1746873826.499668,11949,-103.27268981933594
1746873842.140894,13359,-108.32072448730469
1746873863.100139,15246,-111.15862274169922
1746873879.864165,16642,-112.1493911743164
1746873905.0549068,18795,-111.57086181640625
1746873911.0619578,19288,-106.62657165527344
1746873941.530234,21935,-107.00687408447266
1746873955.045473,23106,-103.27616119384766
1746873962.722153,23777,-100.26748657226562
1746873978.525538,25180,-97.8569564819336
1746873993.118892,26447,-97.0930404663086
1746873997.634905,26815,-95.22991943359375
1746874016.011265,28433,-92.26045989990234
1746874030.302009,29656,-90.07910919189453
1746874053.404981,31612,-85.656982421875
1746874072.698851,33291,-77.3553466796875
1746874102.025929,35784,-64.06148529052734
1746874133.584373,38239,-49.26945114135742
1746874157.128133,39813,-44.535369873046875
1746874176.539007,41352,-32.89139175415039
1746874218.850327,44561,-13.457168579101562
1746874271.662574,48561,3.416407346725464
1746874289.710326,50006,15.39119815826416
1746874320.754393,52512,27.85627555847168
1746874352.938122,55151,45.02371597290039
1746874373.8412101,56795,58.4201774597168
1746874405.8483148,59195,76.17584228515625
1746874416.0890229,59915,87.7197494506836
1746874435.434269,61310,101.63996124267578
1746874450.505971,62488,109.63338470458984
1746874490.1700082,65519,122.2153549194336
1746874495.540587,65925,129.84921264648438
1746874536.932947,69029,147.85647583007812
1746874569.476682,71464,164.5941162109375
1746874612.588865,74776,185.74740600585938
1746874658.265027,78303,209.18115234375
1746874681.622288,80212,223.192138671875
1746874719.386414,83278,238.65048217773438
1746874730.03154,84073,244.64471435546875
1746874759.727822,86492,259.0189514160156
1746874805.758205,90492,285.3993835449219
1746874840.72262,93830,305.7711486816406
1746874872.0938811,96918,324.4473571777344
1746874895.460896,99256,339.5204772949219
1746874929.220785,102623,368.1287536621094
1746874940.4427269,103757,368.27532958984375
1746874960.8732522,105877,372.58123779296875
1746874978.386828,107529,382.16180419921875
1746875013.2155252,111017,400.2716064453125
1746875045.8052511,114374,416.408447265625
1746875076.396972,117413,437.7449951171875
1746875116.1153522,121203,461.5484924316406
1746875157.606234,125203,486.9888000488281
1746875188.58805,128227,502.0238952636719
1746875210.844604,130415,521.631103515625
1746875233.7069051,132648,525.6229248046875
1746875279.114802,136648,554.3999633789062
